CRITICAL -- 2010-10-06 02:31:53,455 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:31:54,324 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:31:54,718 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:31:54,719 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
INFO -- 2010-10-06 02:32:26,330 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:32:27,939 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:32:28,642 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:32:29,065 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:32:29,067 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
INFO -- 2010-10-06 02:33:37,178 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:33:40,272 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:33:41,189 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:33:41,210 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 02:33:45,028 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:34:25,161 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:34:26,756 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:34:27,398 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:34:27,811 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:34:27,812 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:34:27,838 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 02:34:31,198 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:36:48,474 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:36:50,464 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:36:51,179 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:36:51,707 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:36:51,708 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:36:51,731 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
CRITICAL -- 2010-10-06 02:36:55,230 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:38:53,465 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:38:55,289 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
CRITICAL -- 2010-10-06 02:38:55,993 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:38:56,440 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
ERROR -- 2010-10-06 02:38:56,442 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
CRITICAL -- 2010-10-06 02:38:56,464 --En cheques funcion:on_cbocuenta_currentIndexChanged linea:300 -- 0 / 0
INFO -- 2010-10-06 02:42:03,745 --En user funcion:__init__ linea:339 -- El usuario root se ha autenticado
CRITICAL -- 2010-10-06 02:42:05,460 --En base funcion:on_dtPicker_dateTimeChanged linea:130 -- La consulta para obtener tipos de cambio no devolvio exactamente un valor
ERROR -- 2010-10-06 02:42:06,073 --En base funcion:on_dtPicker_dateTimeChanged linea:143 -- Hubo un error al obtener los tipos de cambio
